Ticker,Predicted_Return_3M,Predicted_Return_1Y,Predicted_Return_3Y
NTPC,0.06497682631015778,1.0338994264602661,1.5111148357391357
COALINDIA,0.10377407819032669,1.0327119827270508,1.677716851234436
BAJAJ-AUTO,0.08539673686027527,0.9670040011405945,1.884784460067749
HEROMOTOCO,-0.06508159637451172,0.7385409474372864,1.548775315284729
ITC,0.34811776876449585,0.690170168876648,0.09267725795507431
LT,0.07129843533039093,0.6455705165863037,1.094613790512085
ONGC,0.12390810251235962,0.6336302757263184,1.3991316556930542
ADANIPORTS,-0.14061197638511658,0.6284695863723755,0.9350270628929138
POWERGRID,0.027794981375336647,0.614269495010376,0.9815851449966431
TITAN,0.1903359591960907,0.6084669232368469,0.8790237903594971
NESTLEIND,-0.047901637852191925,0.4235690236091614,0.40317726135253906
M&M,-0.0627821609377861,0.397114634513855,2.097398519515991
APOLLOHOSP,0.01902834139764309,0.39680904150009155,0.5496410131454468
BPCL,0.06669240444898605,0.3619174659252167,1.8203331232070923
HCLTECH,0.07528230547904968,0.35840627551078796,0.7666551470756531
BHARTIARTL,0.04341071844100952,0.3409402668476105,1.907204270362854
TATACONSUM,0.008155738934874535,0.3158594071865082,0.5251688957214355
ULTRACEMCO,0.17048804461956024,0.315214604139328,0.821173369884491
DRREDDY,0.027398668229579926,0.3150036334991455,0.4510210156440735
CIPLA,-0.20844218134880066,0.28740549087524414,0.3815991282463074
SUNPHARMA,0.03248314559459686,0.28274163603782654,0.8324301838874817
TECHM,0.2091285139322281,0.24739590287208557,0.8641968369483948
LTIM,0.14227691292762756,0.2436741590499878,0.3214988708496094
MARUTI,-0.006932705175131559,0.22479969263076782,1.1092606782913208
EICHERMOT,-0.04643802344799042,0.2086217701435089,1.2958059310913086
BRITANNIA,0.03689400851726532,0.19752667844295502,0.53758305311203
INDUSINDBK,-0.04249618202447891,0.19180448353290558,-0.2602933645248413
WIPRO,-0.05634745955467224,0.18200784921646118,0.31062281131744385
ICICIBANK,0.007653750013560057,0.18005453050136566,0.7413533926010132
SBIN,-0.09983305633068085,0.12867039442062378,0.9629477858543396
SBILIFE,-0.09621927887201309,0.11749598383903503,0.7128157019615173
HINDALCO,-0.1312939077615738,0.10938910394906998,1.1034419536590576
JSWSTEEL,-0.02540961094200611,0.08510661125183105,0.5866420269012451
HDFCLIFE,-0.055641259998083115,0.06255611032247543,0.27163398265838623
GRASIM,-0.12749624252319336,0.03912237286567688,0.672685980796814
TCS,-0.042472731322050095,0.035024698823690414,0.06685186177492142
BAJAJFINSV,-0.16558142006397247,0.03203243017196655,0.2678242325782776
HDFCBANK,-0.001775234006345272,0.03058747574687004,0.24522408843040466
ASIANPAINT,-0.15518318116664886,0.027427826076745987,-0.2458718717098236
KOTAKBANK,-0.12259876728057861,0.012240508571267128,0.12687884271144867
INFY,-0.03296535834670067,0.0039826929569244385,0.14761511981487274
RELIANCE,0.002681509591639042,-0.0024919304996728897,0.2540886700153351
TATASTEEL,-0.22403153777122498,-0.024605168029665947,0.6436026692390442
AXISBANK,-0.08581287413835526,-0.06810750812292099,0.34784558415412903
HINDUNILVR,0.056106146425008774,-0.06894023716449738,-0.030015893280506134
UPL,0.056836701929569244,-0.0939345583319664,-0.002367742359638214
DIVISLAB,-0.24016940593719482,-0.11082515865564346,0.5185433626174927
BAJFINANCE,-0.04426347464323044,-0.1375007927417755,0.12396508455276489
ADANIENT,-0.49640965461730957,-0.35237181186676025,-0.46408915519714355
